step,epoch,loss_qfl,loss_bbox,loss_dfl
19001,27,0.3856,0.3805,0.1996
19051,27,0.3909,0.4,0.2233
19101,27,0.4187,0.3756,0.1983
19151,27,0.3866,0.4071,0.2046
19201,28,0.3824,0.3722,0.212
19251,28,0.3962,0.4022,0.2097
19301,28,0.3705,0.2969,0.1876
19351,28,0.4165,0.3544,0.2003
19401,28,0.3707,0.3261,0.1938
19451,28,0.4057,0.3388,0.1936
19501,28,0.3371,0.3294,0.1957
19551,28,0.4852,0.3871,0.2132
19601,28,0.3973,0.3751,0.2085
19651,28,0.4391,0.3305,0.198
19701,28,0.437,0.389,0.2046
19751,28,0.3273,0.3942,0.2058
19801,28,0.3799,0.4212,0.214
19851,28,0.4171,0.3661,0.2167
19901,28,0.3889,0.3707,0.1983
19951,29,0.3919,0.2893,0.1924
20001,29,0.495,0.3569,0.2188
20051,29,0.3347,0.3899,0.2041
20101,29,0.4565,0.3591,0.1909
20151,29,0.3731,0.3414,0.2092
20201,29,0.3603,0.3604,0.2036
20251,29,0.3854,0.3924,0.2146
20301,29,0.4187,0.3392,0.1936
20351,29,0.4345,0.3918,0.2065
20401,29,0.3766,0.3728,0.2075
20451,29,0.3855,0.3843,0.1961
20501,29,0.3769,0.3839,0.2004
20551,29,0.3635,0.3086,0.2029
20601,29,0.3474,0.3118,0.2016
20651,30,0.3785,0.3086,0.1828
20701,30,0.4305,0.41,0.2233
20751,30,0.3637,0.3389,0.2024
20801,30,0.3907,0.4639,0.2365
20851,30,0.3676,0.4113,0.2177
20901,30,0.347,0.3772,0.1969
20951,30,0.4349,0.3233,0.1922
21001,30,0.3709,0.3117,0.19
21051,30,0.4018,0.4329,0.2202
21101,30,0.4668,0.3852,0.1955
21151,30,0.4122,0.3479,0.2038
21201,30,0.3795,0.338,0.1952
21251,30,0.3693,0.3736,0.2031
21301,30,0.4006,0.3143,0.1869
2031,30,0.4222,0.3475,0.2183
2081,30,0.3248,0.2937,0.2068
21351,31,0.4281,0.3553,0.2065
21401,31,0.4128,0.378,0.2011
21451,31,0.4423,0.3314,0.2019
21501,31,0.4227,0.3671,0.1968
21551,31,0.4018,0.3796,0.2052
21601,31,0.3963,0.3283,0.187
21651,31,0.324,0.3126,0.1953
21701,31,0.4353,0.3811,0.2037
21751,31,0.3571,0.4811,0.2265
21801,31,0.3857,0.3692,0.208
21851,31,0.3191,0.3623,0.1968
21901,31,0.3923,0.338,0.1959
21951,31,0.3367,0.4012,0.2219
22001,31,0.3806,0.3588,0.1997
22051,32,0.3749,0.3595,0.2071
22101,32,0.3992,0.3203,0.1892
22151,32,0.3626,0.3718,0.2137
22201,32,0.3861,0.3048,0.1792
22251,32,0.362,0.3329,0.1938
22301,32,0.3878,0.3545,0.2017
22351,32,0.4048,0.3508,0.2044
22401,32,0.4028,0.3634,0.2075
22451,32,0.3795,0.3664,0.1965
22501,32,0.4474,0.3231,0.1942
22551,32,0.3903,0.4053,0.2148
22601,32,0.4519,0.4135,0.2049
22651,32,0.4536,0.3487,0.2136
22701,32,0.3449,0.3984,0.2196
22751,32,0.431,0.3892,0.2113
22801,33,0.3443,0.3444,0.1966
22851,33,0.369,0.3896,0.1951
22901,33,0.3424,0.3626,0.1923
22951,33,0.3474,0.3882,0.2079
23001,33,0.4276,0.3786,0.2165
23051,33,0.3739,0.3333,0.1944
23101,33,0.3238,0.3734,0.2064
23151,33,0.4138,0.3452,0.2051
23201,33,0.4114,0.4148,0.2131
23251,33,0.3677,0.3481,0.2012
23301,33,0.4459,0.3402,0.204
23351,33,0.3349,0.4217,0.2261
23401,33,0.4377,0.345,0.203
23451,33,0.3708,0.31,0.2039
23501,34,0.4056,0.3646,0.2095
23551,34,0.3857,0.3786,0.2086
23601,34,0.354,0.3553,0.1922
23651,34,0.3627,0.3326,0.2036
23701,34,0.3883,0.4186,0.2171
23751,34,0.365,0.3327,0.1839
23801,34,0.4637,0.3377,0.2073
23851,34,0.359,0.324,0.1871
23901,34,0.4267,0.2949,0.1836
23951,34,0.4064,0.3734,0.2044
24001,34,0.3658,0.328,0.2017
24051,34,0.401,0.3339,0.2016
24101,34,0.3867,0.3295,0.1931
24151,34,0.4277,0.3621,0.207
24201,35,0.3555,0.2742,0.1732
24251,35,0.3326,0.3238,0.1889
24301,35,0.3835,0.41,0.2125
24351,35,0.4086,0.3767,0.2013
24401,35,0.3956,0.3883,0.2172
24451,35,0.3466,0.3468,0.1965
24501,35,0.4525,0.3728,0.2051
24551,35,0.36,0.3264,0.1934
24601,35,0.3634,0.2786,0.1777
24651,35,0.3388,0.2874,0.189
24701,35,0.3006,0.3167,0.1952
24751,35,0.3975,0.3756,0.2101
24801,35,0.3927,0.3059,0.1913
24851,35,0.401,0.3298,0.2031
24901,36,0.3653,0.423,0.2241
24951,36,0.4315,0.394,0.2065
25001,36,0.3519,0.3866,0.211
25051,36,0.345,0.341,0.1984
25101,36,0.406,0.332,0.1915
25151,36,0.4325,0.3443,0.2
25201,36,0.4038,0.3879,0.2094
25251,36,0.3505,0.3645,0.1869
25301,36,0.3554,0.3484,0.2009
25351,36,0.379,0.3478,0.1988
25401,36,0.3803,0.3663,0.2018
25451,36,0.4227,0.3564,0.2035
25501,36,0.3769,0.3857,0.2304
25551,36,0.4064,0.3219,0.1951
25601,37,0.4251,0.3556,0.1983
25651,37,0.331,0.3053,0.1879
25701,37,0.4085,0.3304,0.1994
25751,37,0.3356,0.3543,0.1923
25801,37,0.3319,0.3636,0.2106
25851,37,0.3388,0.4234,0.2024
25901,37,0.3632,0.3508,0.1904
25951,37,0.3826,0.3114,0.1898
26001,37,0.2999,0.3646,0.2083
26051,37,0.3302,0.3267,0.2038
26101,37,0.3282,0.3332,0.1955
26151,37,0.3324,0.3717,0.1923
26201,37,0.3467,0.4094,0.2045
26251,37,0.3275,0.3749,0.2035
26301,37,0.3247,0.3166,0.1988
26351,38,0.3776,0.3601,0.2145
26401,38,0.3557,0.3564,0.2025
26451,38,0.3915,0.4362,0.2123
26501,38,0.3361,0.3888,0.2057
26551,38,0.382,0.3555,0.197
26601,38,0.3219,0.3165,0.1915
26651,38,0.4004,0.3339,0.1894
26701,38,0.3515,0.3551,0.1995
26751,38,0.3868,0.3892,0.1995
26801,38,0.3666,0.3346,0.2063
26851,38,0.356,0.4313,0.2161
26901,38,0.4233,0.358,0.2152
26951,38,0.4098,0.3342,0.2014
27001,38,0.3985,0.3489,0.2018
27051,39,0.4144,0.3274,0.1918
27101,39,0.3902,0.2983,0.1915
27151,39,0.323,0.3679,0.1947
27201,39,0.3355,0.3181,0.173
27251,39,0.3476,0.3536,0.1901
27301,39,0.4116,0.4005,0.2051
27351,39,0.3989,0.3811,0.2146
27401,39,0.3981,0.3629,0.2048
27451,39,0.345,0.3441,0.1997
27501,39,0.3185,0.3007,0.1868
27551,39,0.372,0.3682,0.2012
27601,39,0.4198,0.2962,0.1869
27651,39,0.3794,0.3363,0.2145
27701,39,0.3548,0.3137,0.2027
27751,40,0.43,0.3228,0.2005
