label,ebird_code,scientific_name
certhia brachydactyla,shttre1,certhia brachydactyla
certhia familiaris,eurtre1,certhia familiaris
ceryle rudis,piekin1,ceryle rudis
charadrius hiaticula,corplo,charadrius hiaticula
charadrius vociferus,killde,charadrius vociferus
chlidonias hybrida,whiter2,chlidonias hybrida
chlidonias niger,blkter,chlidonias niger
chloris chloris,eurgre1,chloris chloris
chroicocephalus ridibundus,bkhgul,chroicocephalus ridibundus
ciconia ciconia,whisto1,ciconia ciconia
ciconia nigra,blasto1,ciconia nigra
cinclus cinclus,whtdip1,cinclus cinclus
circaetus gallicus,shteag1,circaetus gallicus
circus aeruginosus,wemhar1,circus aeruginosus
circus cyaneus,norhar1,circus cyaneus
circus pygargus,monhar1,circus pygargus
cisticola juncidis,zitcis1,cisticola juncidis
clangula hyemalis,lotduc,clangula hyemalis
coccothraustes coccothraustes,hawfin,coccothraustes coccothraustes
colaptes auratus,norfli,colaptes auratus
coloeus monedula,eurjac,coloeus monedula
columba livia,rocpig,columba livia
columba oenas,stodov1,columba oenas
columba palumbus,cowpig1,columba palumbus
coracias caudatus,librol2,coracias caudatus
coracias garrulus,eurrol1,coracias garrulus
coragyps atratus,blkvul,coragyps atratus
corvus brachyrhynchos,amecro,corvus brachyrhynchos
corvus corax,comrav,corvus corax
corvus cornix,hoocro1,corvus cornix
corvus corone,carcro1,corvus corone
corvus frugilegus,rook1,corvus frugilegus
cuculus canorus,comcuc,cuculus canorus
cyanistes caeruleus,blutit,cyanistes caeruleus
cyanocitta cristata,blujay,cyanocitta cristata
cygnus atratus,blkswa,cygnus atratus
cygnus columbianus,tunswa,cygnus columbianus
cygnus cygnus,whoswa,cygnus cygnus
cygnus olor,mutswa,cygnus olor
delichon urbicum,comhom1,delichon urbicum
dendrocopos major,grswoo,dendrocopos major
dendrocoptes medius,miswoo1,dendrocoptes medius
dryobates minor,leswoo1,dryobates minor
dryobates pubescens,dowwoo,dryobates pubescens
dryocopus martius,blawoo1,dryocopus martius
dumetella carolinensis,grycat,dumetella carolinensis
egretta garzetta,litegr,egretta garzetta
egretta thula,snoegr,egretta thula
elanus caeruleus,bkskit1,elanus caeruleus
emberiza calandra,corbun1,emberiza calandra
emberiza cia,rocbun1,emberiza cia
emberiza cirlus,cirbun1,emberiza cirlus
emberiza citrinella,yellow2,emberiza citrinella
emberiza hortulana,ortbun1,emberiza hortulana
emberiza schoeniclus,reebun,emberiza schoeniclus
eremophila alpestris,horlar,eremophila alpestris
erithacus rubecula,eurrob1,erithacus rubecula
falco peregrinus,perfal,falco peregrinus
falco sparverius,amekes,falco sparverius
falco subbuteo,eurhob,falco subbuteo
falco tinnunculus,eurkes,falco tinnunculus
falco vespertinus,reffal1,falco vespertinus
ficedula hypoleuca,eupfly1,ficedula hypoleuca
fratercula arctica,atlpuf,fratercula arctica
fringilla coelebs,comcha,fringilla coelebs
fringilla montifringilla,brambl,fringilla montifringilla
fulica americana,y00475,fulica americana
fulica atra,eurcoo,fulica atra
fulmarus glacialis,norful,fulmarus glacialis
galerida cristata,crelar1,galerida cristata
gallinago gallinago,comsni,gallinago gallinago
gallinula chloropus,commoo3,gallinula chloropus
gallus gallus,redjun,gallus gallus
garrulus glandarius,eurjay1,garrulus glandarius
gavia arctica,arcloo,gavia arctica
gavia immer,comloo,gavia immer
gavia stellata,retloo,gavia stellata
grus grus,comcra,grus grus
gyps fulvus,eurgri1,gyps fulvus
haematopus ostralegus,euroys1,haematopus ostralegus
haemorhous mexicanus,houfin,haemorhous mexicanus
haliaeetus albicilla,whteag,haliaeetus albicilla
haliaeetus leucocephalus,baleag,haliaeetus leucocephalus
hieraaetus pennatus,booeag1,hieraaetus pennatus
himantopus himantopus,bkwsti,himantopus himantopus
himantopus mexicanus,bknsti,himantopus mexicanus
hippolais icterina,ictwar1,hippolais icterina
hirundo rustica,barswa,hirundo rustica
hydrocoloeus minutus,litgul,hydrocoloeus minutus
hydroprogne caspia,caster1,hydroprogne caspia
ichthyaetus audouinii,audgul1,ichthyaetus audouinii
ichthyaetus melanocephalus,medgul1,ichthyaetus melanocephalus
junco hyemalis,daejun,junco hyemalis
jynx torquilla,eurwry,jynx torquilla
lanius collurio,rebshr1,lanius collurio
lanius excubitor,norshr1,lanius excubitor
lanius senator,wooshr1,lanius senator
larus argentatus,euhgul1,larus argentatus
larus cachinnans,casgul2,larus cachinnans
larus canus,mewgul,larus canus
larus delawarensis,ribgul,larus delawarensis
larus fuscus,lbbgul,larus fuscus
larus marinus,gbbgul,larus marinus
larus michahellis,yelgul1,larus michahellis
larus occidentalis,wesgul,larus occidentalis
larus smithsonianus,amhgul1,larus smithsonianus
leucophaeus atricilla,laugul,leucophaeus atricilla
limosa lapponica,batgod,limosa lapponica
limosa limosa,bktgod,limosa limosa
